BUS_SERVICE_NAME_TXT,OPR_DESC_TXT,ORIG_DEST_TXT,BUS_DIRCTN_TXT,BUS_ROUTE_SEQ_NUM,BUS_STOP_CD,BUS_STOP_DESC_TXT,RD_NAM_TXT,LONGTD_TXT,LATTD_TXT,OP_HR_TXT,FARE_TXT,CONTACT_TXT
PBS 541,Bus-Plus Services Pte Ltd,Bayshore Road - Shenton Way,2,22,-,Outside The Bayshore,Bayshore Road,103.93584,1.311660000,7 trips from 5.15pm to 7.15pm (20 min headway),"AM Fare: $5.50 per adult per trip (Bayshore Park - CBD); PM Fare: $5.00 per adult per trip (CBD - Bayshore Park); $2.00 per adult per trip (within CBD, AM & PM fare)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,1,21551,Blk 151,Yung Ho Road,103.7209862,1.326661043,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,2,21561,Blk 158,Corporation Drive,103.7227432,1.328893152,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,3,21571,Opp Jurong Secondary School,Corporation Drive,103.7230701,1.330567195,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,4,21581,Blk 65,Corporation Drive,103.7232864,1.332433510,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,5,21591,Opp Blk 117,Corporation Drive,103.7224281,1.334761036,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,6,21601,Blk 357,Corporation Drive,103.7210977,1.337270296,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,7,21611,Blk 367,Corporation Drive,103.7193196,1.338364342,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,8,21211,Opp Lakepoint Condominium,Corporation Road,103.7160683,1.340049722,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,9,21231,Blk 203,Corporation Road,103.7159904,1.343595351,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,10,21719,Opp Blk 529,Corporation Road,103.715073,1.347794746,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,11,28539,Blk 538,Jurong West Avenue 1,103.7154239,1.349754774,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,12,28409,Blk 454,Jurong West Avenue 1,103.7179377,1.350811494,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,13,28529,Blk 441,Jurong West Avenue 1,103.7206511,1.351179213,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,14,28519,Blk 425,Jurong West Avenue 1,103.7245249,1.350584168,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,15,28509,Blk 422,Jurong West Avenue 1,103.7265401,1.350034709,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,16,28499,Jurong Polyclinic,Jurong East Avenue 1,103.730462,1.349630441,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,17,28469,Blk 316,Jurong East Avenue 1,103.7319331,1.346127173,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,18,28459,Opp Parc Oasis,Jurong East Avenue 1,103.7343153,1.344407729,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,19,28289,Blk 228,Jurong Town Hall Road,103.7359889,1.342389722,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,20,28279,Blk 114,Jurong Town Hall Road,103.7342365,1.339482955,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,21,28269,Blk 118,Jurong Town Hall Road,103.7349928,1.336532427,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,22,28259,Opp Singapore Science Centre,Jurong Town Hall Road,103.7369883,1.334154722,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,23,3223,Tanjong Pagar Station Exit C,Anson Road,103.8463247,1.275703395,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,24,3151,Opp GB Building,Cecil Street ,103.8477623,1.278921246,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,25,3021,Prudential Tower,Cecil Street ,103.849989,1.282555246,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,26,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,27,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 542,Aedge Holdings Pte Ltd,Yung Ho Road to Nicoll Highway,1,28,80161,Opp Nicoll Highway Station,Nicoll Highway,103.8624541,1.300327156,One trip at 7.50am ,$4.50,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,1,28339,Blk 252,Jurong East Avenue 1,103.7373752,1.342705106,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,2,28329,Blk 246,Jurong East Avenue 1,103.7404357,1.341470923,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,3,28631,Opp Blk 288D,Toh Guan Road,103.7441862,1.340531577,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,4,28641,Blk 284,Toh Guan Road,103.7461032,1.339178898,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,5,28651,Opp IMM Building,Toh Guan Road,103.7479419,1.335151920,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,6,3223,International Plaza,Anson Road,103.8463247,1.275703395,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,7,3151,Opp GB Building,Cecil Street,103.8477623,1.278921246,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,8,3021,Prudential Tower,Cecil Street,103.849989,1.282555246,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,9,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,10,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 543,Aedge Holdings Pte Ltd,Jurong East Avenue 1 to Nicoll Highway,1,11,80161,The Concourse,Nicoll Highway,103.8624541,1.300327156,"Three trips at 7.45am, 7.55am and 8.05am / 10 min",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,1,84269,Blk 95,Bedok North Avenue 4,103.9418503,1.334023333,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,2,84259,Blk 88,Bedok North Avenue 4,103.9391068,1.333288076,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,3,84231,Blk 85,Bedok North Road,103.938555,1.331738716,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,4,84241,Blk 81,Bedok North Road,103.9400487,1.328613929,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,5,84281,Blk 180,Bedok North Road,103.9403951,1.326577142,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,6,84061,The Tanamera Condo,New Upper Changi Road,103.9422313,1.325847905,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,7,84101,Opp Blk 49,Bedok South Avenue 3,103.9442152,1.322982005,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,8,84071,Blk 71,Bedok South Road,103.9426001,1.320671384,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,9,84081,Opp Blk 40,Bedok South Road,103.9402204,1.320438081,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,10,84141,Opp Lions Home for The Elders,Bedok South Road,103.9381742,1.320195187,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,11,84111,Temasek Junior College,Bedok South Road,103.935742,1.319588026,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,12,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,13,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,14,3031,Raffles Place Station Exit F,Robinson Road,103.8508607,1.282074922,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 545,APT Travel Pte Ltd,Bedok North Avenue 4 to Fullerton Road,1,15,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Two trips at 7.50am and 8.00am,$4.20,"Email: sales@aptransport.com.sg
Tel: 6260 0195"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,2,-,Outside Aalto Condominium,Meyer Road,103.896884,1.299104000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,3,-,Outside Peach Garden,Meyer Road,103.89724,1.299040000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,4,-,Outside The Sovereign,Meyer Road,103.89304,1.297630000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,5,-,Outside Hawaii Tower,Meyer Road,103.8905317,1.297136300,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,6,-,Outside The Belvedere,Meyer Road,103.88758,1.297790000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,7,91081,Fort Gardens,Fort Road,103.8853339,1.299305000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,8,80169,Nicoll Highway Station,Nicoll Highway,103.8633601,1.300705476,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,9,80159,Suntec City,Nicoll Highway,103.8579517,1.295962317,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,10,2119,One Raffles Link,Nicoll Highway,103.8553433,1.291844074,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,11,3019,OUE Bayfront,Collyer Quay,103.8531081,1.284245000,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,12,3059,One Raffles Quay,Raffles Quay,103.8513565,1.280976496,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,13,3129,UIC Building,Shenton Way,103.8495672,1.278070035,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,14,3217,Opp AXA Tower,Shenton Way,103.8479444,1.275522189,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,1,15,3218,Opp MAS Building,Shenton Way,103.8468781,1.274116652,Five trips from 7.35am to 9.15am /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,1,3222,Hub Synergy Point,Anson Road,103.8448956,1.273978369,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,2,3223,International Plaza,Anson Road,103.8463247,1.275703395,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,3,3111,Aft Capital Tower,Robinson Road,103.8481012,1.277825954,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,4,3071,Opp So Sofitel Singapore,Robinson Road,103.8493803,1.279921325,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,5,3031,Raffles Place Station Exit F,Robinson Road,103.8508607,1.282074922,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,6,3011,Fullerton Square,Fullerton Road,103.853336,1.285597589,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,7,80151,Opp Suntec City,Nicoll Highway,103.8575904,1.295947793,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,8,80161,The Concourse,Nicoll Highway,103.8624541,1.300327156,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,9,91089,Opp Fort Gardens,Fort Road,103.8855302,1.299138326,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,10,-,Opposite The Belvedere,Meyer Road,103.88758,1.297790000,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,11,-,Opposite Hawaii Tower,Meyer Road,103.8905317,1.297136300,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,12,-,Opposite The Sovereign,Meyer Road,103.89304,1.297630000,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,13,-,Opposite Peach Garden,Meyer Road,103.89724,1.299040000,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 547,Bus-Plus Services Pte Ltd,Meyer Road - Shenton Way,2,14,-,Opposite Aalto Condominium,Meyer Road,103.896884,1.299104000,Five trips from 6.05pm to 7.45pm /  25 to 30 min,"AM Fare: $5.50 per adult per trip (Meyer Road - CBD)
PM Fare: $5.00 per adult per trip (CBD - Meyer Road
$2.00 per adult per trip (within CBD)","Email: busplus@smrt.com.sg
Tel: 6481 0166"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,1,55129,Blk 604,Ang Mo Kio Avenue 5,103.8354994,1.379553020,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,2,55119,Blk 617,Ang Mo Kio Avenue 5,103.8378471,1.377285307,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,3,54451,Blk 643,Ang Mo Kio Avenue 5,103.8405965,1.377235018,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,4,54461,Blk 649,Ang Mo Kio Avenue 5,103.8433994,1.377479971,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,5,54259,Anderson Junior College,Ang Mo Kio Avenue 5,103.8462822,1.377209444,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
PBS 548 ,Aedge Holdings Pte Ltd,Ang Mo Kio Avenue 5 to Fullerton Road,1,6,54449,Opp Blk 507,Ang Mo Kio Street 53,103.8508896,1.374608105,"Four trips at 7.40am, 7.50am, 8.00am and 8.05am",$4.20,"Email: info@aedge.com.sg
Tel: 6458 7645"
